id,full_name,new_eth,eth,FN_eth,Transaction_Count,Tendency,Weighted_Tendency,Archive,Transaction_Size
1,baḫilgaddu / Enlil-šumu-iddin,Aramean,n,b,1,Positive,1,Murašȗ,1
2,Šagê / Ḫabaṣīru,Aramean,n,b,1,Positive,1,Yahudu,1
3,Adad-idrī / Zabūdu,Aramean,n,n,1,Negative,-1,Yahudu,1
4,Aḫu-immē / Barīk-il,Aramean,n,n,1,Negative,-1,Murašȗ,1
5,Arzā / Il-iddin,Aramean,n,x,1,Negative,-1,Yahudu,1
6,Barīk-Iltammeš / Kiribtu-BēlNegative,Aramean,n,b,1,Negative,-1,Murašȗ,1
7,biṣa / barikiltammeš,Aramean,n,n,4,Negative,-1,Murašȗ,<6
8,biṣa / itti-Šamaš-balaṭu,Aramean,n,b,1,Negative,-1,Murašȗ,1
9,Bīt-il-ḫisnī / Bīt-il-šar-uṣur,Aramean,n,n,1,Negative,-1,Yahudu,1
10,Bīt-il-idrā / Nabû-šum-iddin,Aramean,n,b,1,Negative,-1,Yahudu,1
11,bit-il-nuru-i' / nidintu-bel,Aramean,n,b,1,Negative,-1,Murašȗ,1
12,Bīt-il-šūru / Arad-Bānītu,Aramean,n,b,1,Negative,-1,Yahudu,1
13,Bitil-dala' / bel-iddin,Aramean,n,b,1,Negative,-1,Murašȗ,1
14,daḫilta / Enlil-ušallim,Aramean,n,b,2,Negative,-1,Murašȗ,<6
15,daḫilta' / bibi-ibni,Aramean,n,x,1,Negative,-1,Murašȗ,1
16,dalatani' / aqabi-ili,Aramean,n,n,1,Negative,-1,Murašȗ,1
17,dalatani' / sakkuḫu,Aramean,n,n,1,Negative,-1,Murašȗ,1
18,Ḫada-™… / Nabû-aḫ-uṣur,Aramean,n,b,1,Negative,-1,Yahudu,1
19,ḫazaddini' / aqqabi-ili,Aramean,n,n,1,Negative,-1,Murašȗ,1
20,Iaʾabi-il / Zabdia,Aramean,n,n,1,Negative,-1,Yahudu,1
21,idra / bel-aḫu-iddin,Aramean,n,b,1,Negative,-1,Murašȗ,1
22,ili-lintar / bel-ittannu,Aramean,n,b,1,Negative,-1,Murašȗ,1
23,iltammeš-nuru-i' / Sin-eṭir,Aramean,n,b,1,Negative,-1,Murašȗ,1
24,iltammeš-nuru-i' / ume'barra,Aramean,n,n,1,Negative,-1,Murašȗ,1
25,iltammešbarakku / mar-Sin-ereš,Aramean,n,b,1,Negative,-1,Murašȗ,1
26,iltammešlintar / ili-bana',Aramean,n,n,1,Negative,-1,Murašȗ,1
27,iltammešnuri' / bunene-ibni,Aramean,n,b,1,Negative,-1,Murašȗ,1
28,Ilteri-ušallim / Šalti-il,Aramean,n,n,1,Negative,-1,Yahudu,1
29,lulaʾḫia / iddin-Nabu,Aramean,n,b,1,Negative,-1,Murašȗ,1
30,mare / nidintu-bel,Aramean,n,b,1,Negative,-1,Murašȗ,1
31,Nabu-idri' / mušezib-bel,Aramean,n,b,1,Negative,-1,Murašȗ,1
32,Nabu-šuri' / šataḫma',Aramean,n,n,1,Negative,-1,Murašȗ,1
33,Nabu-zabaddu / mušezib-Nabu,Aramean,n,b,1,Negative,-1,Murašȗ,1
34,Šamaš-linṭar / iddin-Enlil,Aramean,n,b,1,Negative,-1,Murašȗ,1
35,Šamaš-linṭar / xxx,Aramean,n,x,1,Negative,-1,Murašȗ,1
36,Šēº-ḫutnu / Īnia,Aramean,n,b,1,Negative,-1,Yahudu,1
37,ṣiḫa' / barikki-bel,Aramean,n,n,1,Negative,-1,Murašȗ,1
38,Zabadu / Bēl-...,Aramean,n,x,1,Negative,-1,Murašȗ,1
39,zabdia / bariki-ili,Aramean,n,n,1,Negative,-1,Murašȗ,1
40,zabdia / iddiria-ili,Aramean,n,n,2,Negative,-1,Murašȗ,<6
41,zabdia / Sin-nadin-aḫu,Aramean,n,b,1,Negative,-1,Murašȗ,1
42,zabdia / xxx,Aramean,n,x,1,Negative,-1,Murašȗ,1
43,zabida / Ninurta-aḫḫe-bulliṭ,Aramean,n,b,1,Negative,-1,Murašȗ,1
44,zabidnana / ḫammaruru,Aramean,n,n,1,Negative,-1,Murašȗ,1
45,zabin / bel-erib,Aramean,n,b,2,Negative,-1,Murašȗ,<6
46,zabina' / ṭubiama,Aramean,n,n,1,Negative,-1,Murašȗ,1
47,zabini / balaṭu,Aramean,n,b,2,Negative,-1,Murašȗ,<6
48,zabini / billae,Aramean,n,n,1,Negative,-1,Murašȗ,1
49,Zabūdu / Bēl-naʾid,Aramean,n,b,1,Negative,-1,Yahudu,1
50,zabudu / Nabu-iaḫabi,Aramean,n,n,1,Negative,-1,Murašȗ,1
51,Zabūdu / Tattannu,Aramean,n,b,1,Negative,-1,Murašȗ,1
52,Zū-Bāt-il / Nabû-aḫḫē-bulliṭ,Aramean,n,b,1,Negative,-1,Yahudu,1
53,barikiltammeš / nana-eršu,Aramean,n,b,6,Negative,-0.67,Murašȗ,<30
54,ili-zabaddu / apla,Aramean,n,b,6,Negative,-0.67,Murašȗ,<30
55,Barīk-Tammeš / Zēria,Aramean,n,b,4,Negative,-0.5,Yahudu,<6
56,Bīt-il-ab-uṣur / Bīt-il-šar-uṣur;,Aramean,n,n,8,Negative,-0.5,Yahudu,<30
57,iltammešlintar / marduka,Aramean,n,b,4,Negative,-0.5,Murašȗ,<6
58,iltammešraḫia / ḫandašanu,Aramean,n,n,4,Negative,-0.5,Murašȗ,<6
59,šiṭa / Nabu-dayanu,Aramean,n,b,9,Negative,-0.33,Murašȗ,<30
60,Bīt-il-šar-uṣur / Šalammu,Aramean,n,n,3,Negative,-0.33,Yahudu,<6
61,dalatani' / sulumada,Aramean,n,n,3,Negative,-0.33,Murašȗ,<6
62,Aḫīqar / Rīmūt,Aramean,n,b,42,Negative,-0.19,Yahudu,<100
63,Zabdija / Bēl-zēr-ibni,Aramean,n,b,7,Negative,-0.14,Murašȗ,<30
64,Aḫ-immê / Rīmūt,Aramean,n,b,5,Positive,0.2,Yahudu,<6
65,Arzā / Ḫimāria,Aramean,n,n,3,Positive,0.33,Yahudu,<6
66,Enlil-aḫabi / na'id-bel,Aramean,n,b,3,Positive,0.33,Murašȗ,<6
